,Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
480,2023-08-15,601728,5.5,5.45,5.51,5.38,1718812,1019387415.0,2.36,-1.09,-0.06,0.88,5.45
481,2023-08-16,601728,5.44,5.28,5.47,5.21,1675460,971620215.0,4.77,-3.12,-0.17,0.86,5.28
482,2023-08-17,601728,5.23,5.27,5.28,5.15,1204793,688009993.0,2.46,-0.19,-0.01,0.61,5.27
483,2023-08-18,601728,5.26,5.13,5.26,5.13,1334424,757795675.0,2.47,-2.66,-0.14,0.68,5.13
484,2023-08-21,601728,5.13,5.19,5.3,5.11,1360785,777368998.0,3.7,1.17,0.06,0.69,5.19
485,2023-08-22,601728,5.22,5.5,5.51,5.22,3998367,2364084987.0,5.59,5.97,0.31,2.04,5.5
486,2023-08-23,601728,5.44,5.44,5.58,5.43,2009064,1202114684.0,2.73,-1.09,-0.06,1.03,5.44
487,2023-08-24,601728,5.47,5.31,5.51,5.28,1965495,1148367238.0,4.23,-2.39,-0.13,1.0,5.31
488,2023-08-25,601728,5.26,5.3,5.39,5.2,1675282,969487135.0,3.58,-0.19,-0.01,0.86,5.3
489,2023-08-28,601728,5.59,5.46,5.63,5.38,2151589,1281965077.0,4.72,3.02,0.16,1.1,5.46
490,2023-08-29,601728,5.41,5.52,5.57,5.4,1998882,1197699130.0,3.11,1.1,0.06,1.02,5.52
491,2023-08-30,601728,5.52,5.44,5.58,5.41,1740971,1039213935.0,3.08,-1.45,-0.08,0.89,5.44
492,2023-08-31,601728,5.47,5.41,5.5,5.33,1541411,887601521.0,3.13,-0.55,-0.03,0.79,5.41
493,2023-09-01,601728,5.42,5.37,5.44,5.31,1134000,648041286.0,2.4,-0.74,-0.04,0.58,5.37
494,2023-09-04,601728,5.4,5.56,5.58,5.36,2230573,1308432579.0,4.1,3.54,0.19,1.14,5.56
495,2023-09-05,601728,5.53,5.44,5.58,5.43,1215572,709467320.0,2.7,-2.16,-0.12,0.62,5.44
496,2023-09-06,601728,5.43,5.48,5.49,5.37,906061,524567758.0,2.21,0.74,0.04,0.46,5.48
